iter	Passed	Remaining
561	42890	338698
562	42962	338588
563	43031	338452
564	43108	338379
565	43190	338352
566	43257	338205
567	43319	338014
568	43394	337928
569	43471	337860
570	43545	337761
571	43611	337611
572	43674	337432
573	43749	337343
574	43810	337146
575	43884	337053
576	43956	336949
577	44022	336791
578	44086	336626
579	44154	336485
580	44218	336323
581	44288	336193
582	44360	336087
583	44425	335931
584	44489	335761
585	44560	335644
586	44623	335477
587	44695	335366
588	44756	335176
589	44818	335002
590	44892	334909
591	44962	334785
592	45024	334605
593	45098	334518
594	45171	334421
595	45235	334258
596	45310	334172
597	45372	333999
598	45434	333819
599	45505	333703
600	45573	333572
601	45639	333425
602	45708	333303
603	45785	333233
604	45855	333114
605	45936	333074
606	46013	333011
607	46080	332869
608	46149	332743
609	46231	332714
610	46312	332673
611	46396	332656
612	46474	332599
613	46547	332500
614	46613	332357
615	46674	332178
616	46740	332031
617	46815	331947
618	46888	331858
619	46952	331700
620	47024	331592
621	47097	331499
622	47168	331390
623	47247	331341
624	47314	331198
625	47389	331119
626	47457	330988
627	47521	330830
628	47591	330716
629	47660	330599
630	47731	330487
631	47802	330382
632	47874	330278
633	47940	330141
634	48010	330027
635	48078	329897
636	48153	329819
637	48230	329749
638	48294	329597
639	48364	329484
640	48438	329394
641	48503	329251
642	48568	329102
643	48637	328983
644	48702	328836
645	48763	328662
646	48828	328515
647	48894	328379
648	48974	328335
649	49045	328226
650	49127	328197
651	49206	328146
652	49274	328020
653	49344	327908
654	49421	327841
655	49490	327721
656	49556	327587
657	49626	327473
658	49698	327373
659	49772	327290
660	49841	327175
661	49921	327127
662	50007	327123
663	50080	327028
664	50152	326934
665	50220	326809
666	50286	326673
667	50357	326567
668	50426	326454
669	50495	326337
670	50559	326187
671	50631	326093
672	50704	326002
673	50768	325854
674	50842	325768
675	50923	325729
676	50990	325599
677	51056	325466
678	51132	325395
679	51219	325392
680	51301	325362
681	51388	325358
682	51474	325350
683	51547	325262
684	51608	325095
685	51674	324958
686	51747	324869
687	51818	324767
688	51894	324699
689	51965	324594
690	52025	324425
691	52101	324353
692	52169	324233
693	52235	324102
694	52314	324046
695	52384	323941
696	52460	323871
697	52525	323730
698	52591	323601
699	52667	323530
700	52740	323438
701	52809	323328
702	52876	323199
703	52946	323096
704	53011	322959
705	53130	323149
706	53201	323046
707	53272	322944
708	53341	322831
709	53412	322732
710	53483	322630
711	53557	322549
712	53625	322432
713	53703	322373
714	53778	322292
715	53846	322173
716	53926	322127
717	53996	322020
718	54066	321920
719	54153	321912
720	54246	321945
721	54319	321853
722	54384	321718
723	54458	321635
724	54526	321519
725	54593	321396
726	54656	321246
727	54728	321151
728	54786	320980
729	54854	320860
730	54931	320797
731	54994	320649
732	55063	320539
733	55148	320523
734	55217	320413
735	55283	320283
736	55353	320177
737	55428	320106
738	55491	319956
739	55555	319818
740	55618	319677
741	55686	319559
742	55752	319430
743	55820	319319
744	55899	319266
745	55961	319113
746	56030	319004
747	56109	318954
748	56198	318957
749	56283	318938
750	56384	319009
751	56504	319193
752	56578	319106
753	56642	318972
754	56715	318882
755	56784	318774
756	56851	318651
757	56927	318582
758	57004	318521
759	57076	318428
760	57149	318341
761	57218	318228
762	57279	318074
763	57346	317959
764	57411	317825
765	57479	317714
766	57556	317646
767	57618	317501
768	57694	317432
769	57759	317304
770	57824	317172
771	57897	317087
772	57968	316987
773	58045	316925
774	58119	316842
775	58196	316781
776	58259	316639
777	58338	316590
778	58444	316678
779	58510	316557
780	58584	316473
781	58656	316385
782	58719	316244
783	58794	316170
784	58864	316066
785	58938	315985
786	59000	315846
787	59064	315708
788	59131	315592
789	59208	315529
790	59274	315406
791	59338	315272
792	59416	315214
793	59483	315097
794	59548	314970
795	59608	314817
796	59672	314684
797	59742	314585
